population	name	chr	start	end	recomb_Bherer2017_sexavg	recomb_Bherer2017_females	recomb_Bherer2017_males	missing	S	Pi	DAF	Divsites	D	K	Unknown	Psel_fold0	Pneu_fold0	Dsel_fold0	Dneu_fold0	alpha_fold0	test_fold0	m_sel_fold0	m_neu_fold0	Pi_sel_fold0	Pi_neu_fold0	K_sel_fold0	K_neu_fold0	alpha_pi_fold0	test_pi_fold0	Psel_neutral_fold0	alpha_cor_fold0	test_cor_fold0	DoS_fold0	f_fold0	b_fold0	y_fold0	d_fold0	Psel_intron	Pneu_intron	Dsel_intron	Dneu_intron	alpha_intron	test_intron	m_sel_intron	m_neu_intron	Pi_sel_intron	Pi_neu_intron	K_sel_intron	K_neu_intron	alpha_pi_intron	test_pi_intron	Psel_neutral_intron	alpha_cor_intron	test_cor_intron	DoS_intron	f_intron	b_intron	y_intron	d_intron	Psel_UTR5	Pneu_UTR5	Dsel_UTR5	Dneu_UTR5	alpha_UTR5	test_UTR5	m_sel_UTR5	m_neu_UTR5	Pi_sel_UTR5	Pi_neu_UTR5	K_sel_UTR5	K_neu_UTR5	alpha_pi_UTR5	test_pi_UTR5	Psel_neutral_UTR5	alpha_cor_UTR5	test_cor_UTR5	DoS_UTR5	f_UTR5	b_UTR5	y_UTR5	d_UTR5	Psel_UTR3	Pneu_UTR3	Dsel_UTR3	Dneu_UTR3	alpha_UTR3	test_UTR3	m_sel_UTR3	m_neu_UTR3	Pi_sel_UTR3	Pi_neu_UTR3	K_sel_UTR3	K_neu_UTR3	alpha_pi_UTR3	test_pi_UTR3	Psel_neutral_UTR3	alpha_cor_UTR3	test_cor_UTR3	DoS_UTR3	f_UTR3	b_UTR3	y_UTR3	d_UTR3	Psel_inter	Pneu_inter	Dsel_inter	Dneu_inter	alpha_inter	test_inter	m_sel_inter	m_neu_inter	Pi_sel_inter	Pi_neu_inter	K_sel_inter	K_neu_inter	alpha_pi_inter	test_pi_inter	Psel_neutral_inter	alpha_cor_inter	test_cor_inter	DoS_inter	f_inter	b_inter	y_inter	d_inter																			
ACB	347688	chr10	92328	95678	NA	NA	NA	35.3625783348	41	0.0017182	24	1	2	0	2	0	0	1	2	0	1	0	1	1	1	0	0	2	1	2	6	0.0017943	0.0017964	6	1	2	0	2	-Inf	1	611	145	0.0004059	0.0025983	0	0.0137931034	-Inf	1	0.5	-Inf	1	-0.3333333333	0.0593289689	0.0593289689	0.1186579378	0.8813420622	23	2	2	2	-10.5	0.0800387352	669	145	0.0035461	0.0025983	0.0029895366	0.0137931034	-5.2967985699	1	15.5	-6.75	0.0800387352	-0.42	1.6797458894	0.8127802691	2.2757847534	-1.4925261584	0	2	0	2	NaN	1	0	145	NaN	0.0025983	NaN	0.0137931034	NaN	NA	0	NaN	1	0	NaN	NaN	NaN	NaN	0	2	0	2	NaN	1	0	145	NaN	0.0025983	NaN	0.0137931034	NaN	NA	0	NaN	1	0	NaN	NaN	NaN	NaN	11	2	2	2	-4.5	0.218907563	569	145	0.0047173	0.0025983	0.0035149385	0.0137931034	-6.1244028257	1	12.5	-5.25	0.218907563	-0.3461538462	1.5927065026	-0.1911247803	1.1467486819	-0.4015817223
ACB	10771	chr10	179905	301077	0.0581882492	0.0533017082	0.0630747901	2.4791001296	597	0.0005577	438	59	25	12	4	8	3	8	4	17	1	0	4	2	36	2	4	0	2	34	1402	0.0115717	0.0116619	11	1	0	1	1	-Inf	1	1240	197	0.0001214	0	0.0008064516	0.0050761421	-Inf	1	NaN	NaN	1	-0.5	NaN	NaN	Inf	NaN	537	0	1373	1	-Inf	1	111986	197	0.000591	0	0.0122604611	0.0050761421	-Inf	1	NaN	NaN	1	-0.000727802	NaN	NaN	Inf	NaN	1	0	3	1	-Inf	1	488	197	0.0001322	0	0.006147541	0.0050761421	-Inf	1	NaN	NaN	1	-0.25	NaN	NaN	Inf	NaN	7	0	11	1	-Inf	1	2847	197	0.0002357	0	0.0038637162	0.0050761421	-Inf	1	NaN	NaN	1	-0.0833333333	NaN	NaN	Inf	NaN	1	0	12	1	-Inf	1	1000	197	0.0004685	0	0.012	0.0050761421	-Inf	1	NaN	NaN	1	-0.0769230769	NaN	NaN	Inf	NaN
ACB	22982	chr10	319630	736108	0.275685098	0.0635191072	0.4878510887	4.9685578385	3770	0.0009224	2676	329	110	44	36	46	23	36	73	77	44	24	27	18	22	10	11	19	38	522	7834	0.0188206	0.0190608	232	15	10	21	15	-0.0714285714	1	4281	1007	0.0005548	0.0011252	0.0049053959	0.0148957299	-0.4972504439	1	12	0.1428571429	1	-0.0166666667	0.2822704975	0.0705676244	0.0235225415	0.6471618781	3233	10	7683	15	0.3688012495	0.2749307266	380329	1007	0.0009751	0.0011252	0.0202009313	0.0148957299	0.3609867994	1	2753.8	0.4623584537	0.2749307266	0.0011350065	0.7291257306	0.1268781502	-0.5001519737	0.1439961191	1	10	8	15	0.8125	0.2136687823	783	1007	0.0006418	0.0011252	0.0102171137	0.0148957299	0.1684209247	1	0.6	0.8875	0.2136687823	0.256916996	0.077164751	0.0514431673	-0.5573009791	0.8713920817	49	10	93	15	0.2096774194	0.6523228136	7640	1007	0.0008701	0.0011252	0.0121727749	0.0148957299	0.0537374691	1	37.4	0.3967741935	0.6523228136	0.0306026365	0.4929554974	0.152895288	-0.1713481675	0.3541492147	7	10	3	15	-2.5	0.1463530907	500	1007	0.0040906	0.0011252	0.006	0.0148957299	-8.0254284707	1	5.2	-1.6	0.1463530907	-0.2450980392	1.04728	0.36252	1.007	-0.4098
ACB	100847086	chr10	687129	688218	0.9413697	0.0345694	1.84817	0	7	0.0006468	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	19	0.0174312	0.017637	0	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	7	0	19	0	NaN	1	1000	0	0.000705	NaN	0.019	NaN	NaN	NA	NaN	NaN	1	0	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN
ACB	414235	chr10	695388	711609	0.2761786885	0.0590796097	0.4932777672	6.0411786463	100	0.0005541	78	10	5	1	3	0	0	1	1	2	0	0	0	0	2	0	0	0	1	9	272	0.0167725	0.0169629	2	7	0	8	0	NaN	1	636	147	0.0011182	0	0.0125786164	0	NaN	1	NaN	NaN	1	0	NaN	NaN	NaN	NaN	59	0	215	0	NaN	1	10730	147	0.0005458	0	0.0200372787	0	NaN	1	NaN	NaN	1	0	NaN	NaN	NaN	NaN	0	0	1	0	NaN	1	163	147	0	0	0.0061349693	0	NaN	1	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	26	0	47	0	NaN	1	3447	147	0.0006597	0	0.013635045	0	NaN	1	NaN	NaN	1	0	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	147	NaN	0	NaN	0	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN
ACB	23185	chr10	852354	978145	0.3201057231	0.0759953525	0.5642160936	1.3100992114	884	0.0005191	738	27	37	9	11	4	2	1	2	2	2	0	0	8	4	2	14	45	6	39	1148	0.0091271	0.0091831	5	2	3	5	4	0.4666666667	1	1411	365	0.0003941	0.0009614	0.0035435861	0.0109589041	-0.2677290823	1	2	0.4666666667	1	0.1555555556	0.172454524	0	-0.1508977085	0.827545476	735	3	1071	4	0.0849673203	1	115376	365	0.0004902	0.0009614	0.0092826931	0.0109589041	0.3980473602	1	825	-0.0270774977	1	0.0003441104	0.8699816253	-0.0949070864	-0.0719712072	0.2249254611	2	3	0	4	-Inf	0.4444444444	39	365	0.0013753	0.0009614	0	0.0109589041	-Inf	1	2	-Inf	0.4444444444	-0.4	6.2393162393	0	6.2393162393	-5.2393162393	42	3	60	4	0.0666666667	1	6012	365	0.0011773	0.0009614	0.0099800399	0.0109589041	-0.3446766844	1	47	-0.0444444444	1	0.0041666667	0.9511532491	-0.1011865159	-0.0607119095	0.1500332668	2	3	6	4	0.5555555556	0.6083916084	500	365	0.0009652	0.0009614	0.012	0.0109589041	0.0831483387	1	2	0.5555555556	0.6083916084	0.2	0.4866666667	0	-0.6083333333	0.5133333333
ACB	23560	chr10	1033849	1064208	0.2746292311	0.0589910429	0.4902674194	1.0342555995	315	0.0010184	241	11	11	15	2	2	3	4	4	4	5	0	1	2	3	0	2	2	6	29	629	0.020729	0.0210209	11	7	3	1	3	-6	0.2447552448	1205	210	0.0003294	0.0003567	0.0008298755	0.0142857143	-14.8967920221	1	4.6666666667	-3.6666666667	0.2447552448	-0.45	0.2710926694	0.1355463347	0.3485477178	0.5933609959	261	3	577	3	0.547660312	0.3837099097	26295	210	0.0010061	0.0003567	0.0219433352	0.0142857143	-0.8362734782	1	234	0.5944540728	0.3837099097	0.0061912226	0.6229321164	0.0718767827	-0.8412245674	0.305191101	5	3	5	3	0	1	394	210	0.0007046	0.0003567	0.0126903553	0.0142857143	-1.2236565341	1	3.3333333333	0.3333333333	1	0	0.5922165821	0.296108291	0	0.1116751269	4	3	11	3	0.6363636364	0.3543601651	541	210	0.0028119	0.0003567	0.0203327172	0.0142857143	-4.538642098	1	2.6666666667	0.7575757576	0.3543601651	0.2142857143	0.3450400493	0.1725200246	-0.9057301294	0.4824399261	14	3	25	3	0.44	0.6581240654	1000	210	0.0021026	0.0003567	0.025	0.0142857143	-2.3683367376	1	12.3333333333	0.5066666667	0.6581240654	0.0693277311	0.8633333333	0.1166666667	-0.77	0.02
ACB	91734	chr10	1064347	1072299	1.1212547205	0.844580903	1.397928538	0	105	0.0013698	74	3	3	13	3	2	1	0	1	0	0	0	0	2	0	0	1	0	1	10	102	0.012835	0.0129461	6	7	1	2	0	1	1	490	74	0.0020171	0.0004358	0.0040816327	0	1	1	9	1	1	0.125	1.3591836735	-0.3020408163	-Inf	-0.0571428571	72	1	87	0	1	0.45625	6040	74	0.0012436	0.0004358	0.0144039735	0	1	1	94	1	0.45625	0.0136986301	1.1516556291	-0.2695364238	-Inf	0.1178807947	0	1	2	0	1	0.3333333333	95	74	0	0.0004358	0.0210526316	0	1	1	0	1	0.3333333333	1	0	0	-Inf	1	7	1	0	0	NaN	1	610	74	0.0019072	0.0004358	0	0	NaN	1	8	NaN	1	NaN	0.9704918033	-0.1213114754	NaN	0.1508196721	9	1	10	0	1	1	500	74	0.0017278	0.0004358	0.02	0	1	1	10	1	1	0.1	1.48	-0.148	-Inf	-0.332
ACB	55853	chr10	1068077	1090641	0.7717532688	0.2006323473	1.3428741902	2.2025260359	223	0.0013624	136	3	15	38	2	6	2	2	1	0	1	0	1	4	1	2	11	0	1	16	266	0.0117908	0.0118845	1	3	0	8	1	-Inf	1	983	171	0.0009157	0	0.008138352	0.0058479532	-Inf	1	NaN	NaN	1	-0.1111111111	NaN	NaN	Inf	NaN	179	0	227	1	-Inf	1	18351	171	0.0014734	0	0.0123698981	0.0058479532	-Inf	1	NaN	NaN	1	-0.0043859649	NaN	NaN	Inf	NaN	8	0	9	1	-Inf	1	745	171	0.0017746	0	0.0120805369	0.0058479532	-Inf	1	NaN	NaN	1	-0.1	NaN	NaN	Inf	NaN	6	0	18	1	-Inf	1	1478	171	0.0005531	0	0.0121786198	0.0058479532	-Inf	1	NaN	NaN	1	-0.0526315789	NaN	NaN	Inf	NaN	0	0	0	1	NaN	1	0	171	NaN	0	NaN	0.0058479532	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN
ACB	3422	chr10	1085464	1103144	0.0917565245	0.1217629477	0.0617501013	5.8707086703	115	0.0008272	72	3	5	18	2	2	0	0	0	0	0	1	0	0	1	4	7	0	3	9	171	0.0096719	0.0097348	0	1	0	8	4	-Inf	1	839	173	0.0000258	0	0.0095351609	0.0231213873	-Inf	1	NaN	NaN	1	-0.3333333333	NaN	NaN	Inf	NaN	71	0	107	4	-Inf	0.1573928196	11420	173	0.0009782	0	0.0093695271	0.0231213873	-Inf	1	NaN	NaN	0.1573928196	-0.036036036	NaN	NaN	Inf	NaN	18	0	24	4	-Inf	0.1442228146	1903	173	0.0009071	0	0.0126116658	0.0231213873	-Inf	1	NaN	NaN	0.1442228146	-0.1428571429	NaN	NaN	Inf	NaN	9	0	25	4	-Inf	0.5544807966	2091	173	0.0006727	0	0.0119560019	0.0231213873	-Inf	1	NaN	NaN	0.5544807966	-0.1379310345	NaN	NaN	Inf	NaN	0	0	0	4	NaN	1	0	173	NaN	0	NaN	0.0231213873	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN
